,Begin Time - ss.msec,End Time - ss.msec,Common Ground,Utterance,Start,End,Group,Participant,Transcript
0,20.24,22.7,red = 10,6,22.15,23.15,5,4,"No, don't write it down. You can flip that piece of paper over, and you will be placing the blocks where they"
1,62.91,64.62,red = 10,21,64.12,65.12,5,1,at the end of the scale.
3,92.25,95.19,red = blue,44,80.12,99.12,5,3,le. We're fine.
5,108.58,112.17,red = 10 and blue = 10,55,112.12,113.12,5,1,"red block, blue block is it"
7,131.62,132.99,green = 20,73,131.12,133.12,5,1,purple block is heavier than green block one. so put
9,134.19,136.63,red = 10 and blue = 10 and green = 20,74,133.12,135.12,5,1,purple block with green block one.
10,147.96,154.32,green = 20,91,150.12,151.12,5,2,and see if purple block's thirty.
11,154.47,159.75,purple > green,103,157.12,158.12,5,2,"well we don't, we don't don't have any other options purple block's gonna be 30."
13,164.07,168.25,purple > 20,110,163.12,165.12,5,2,and then yellow block one's obvious-
15,174.48,183.63,purple = 30,136,183.12,184.12,5,2,"green block, purple block, green block, purple block is fifty ri-"
17,199.38,200.84,purple = 30 and green = 20,155,199.12,201.12,5,1,so okay so if we filled this
18,207.25,218.67,yellow = 50,166,215.12,216.12,5,2,and purple block one's thirty
19,218.73,226.08,yellow = 50,173,222.12,223.12,5,1,"thirty, okay so purple block's thir-"
21,233.58,236.64,yellow = 50 and purple = 30,187,235.12,236.12,5,4,that on the survey?
22,244.17,246.57,purple = 30,200,245.12,246.12,5,1,"twenty, yeah we were right"
